740.783815372,1484.89657362,1855.86732072,1893.6646289,1889.33117601,1880.77598365,1876.10339362,1873.24049543,1871.44570863,1870.51552597,0
772.196988074,1194.18688747,1380.59365511,1392.610357,1391.02027413,1389.09834981,1387.69687084,1387.06757886,1386.85872385,1386.79932777,0
749.315836029,1589.57245873,2078.97574403,2165.3936901,2193.89784285,2202.83070798,2202.96810368,2202.18314658,2202.46768017,2203.17226499,0
707.859949628,1326.95158821,1585.56316388,1628.37854634,1635.14415728,1633.93003831,1632.48477961,1633.35342124,1634.84860117,1635.66712957,0
710.575717688,1086.60871551,1165.39985962,1175.89302986,1172.66298467,1167.37937914,1164.05869018,1162.54625375,1162.07446744,1161.96062809,0
698.014397887,1340.46444211,1743.18610533,1795.36260624,1790.70848123,1784.41600591,1781.27822696,1780.10908574,1779.80872552,1779.75263478,0
722.108464553,1341.13026271,1616.81588868,1661.26491451,1670.89152905,1668.60176957,1663.66947916,1658.49952573,1652.85509802,1646.66575973,0
742.515034884,1461.27590896,1861.56906075,1922.82169541,1938.44640327,1941.64403438,1942.77247962,1943.04862429,1943.0421825,1942.92619021,0
704.516841249,1049.11209004,1071.21726095,990.279767548,909.469054572,841.237927436,806.276077712,786.320912045,766.059093238,755.397578408,0
742.668133373,1210.18329855,1380.29877911,1408.34966246,1414.83512966,1410.02545845,1398.20408679,1392.43017414,1392.26970916,1392.27215299,0
